modifier,location,condition,default_hotkey,command_id,comment,application,group
,,,Ctrl+],`editor.action.indentLines`,Indent Line,VS Code,Edit
,,,Ctrl+[,`editor.action.outdentLines`,Outdent Line,VS Code,Edit
,,,Tab,`tab`,Indent / insert tab,VS Code,Edit
,,,Shift+Tab,`outdent`,Outdent,VS Code,Edit
delete,character,,Backspace,`deleteLeft`,Delete character to the left,VS Code,Edit
delete,character,,Delete,`deleteRight`,Delete character to the right,VS Code,Edit
delete,word,,Ctrl+Backspace,`deleteWordLeft`,Delete Word (left),VS Code,Edit
delete,word,,Ctrl+Delete,`deleteWordRight`,Delete Word (right),VS Code,Edit
toggle,comment,,Ctrl+/,`editor.action.commentLine`,Toggle Line Comment,VS Code,Edit
new,comment,,Ctrl+K Ctrl+C,`editor.action.addCommentLine`,Add Line Comment,VS Code,Edit
delete,comment,,Ctrl+K Ctrl+U,`editor.action.removeCommentLine`,Remove Line Comment,VS Code,Edit
toggle,comment,,Shift+Alt+A,`editor.action.blockComment`,Toggle Block Comment,VS Code,Edit
format,document,,Shift+Alt+F,`editor.action.formatDocument`,Format Document,VS Code,Edit
format,selection,,Ctrl+K Ctrl+F,`editor.action.formatSelection`,Format Selection,VS Code,Edit
,,,Shift+Alt+O,`editor.action.organizeImports`,Organize Imports,VS Code,Edit
,,,Shift+Alt+.,`editor.action.autoFix`,Apply Auto Fix,VS Code,Edit
,,,Ctrl+.,`editor.action.quickFix`,Show Quick Fix menu,VS Code,Edit
,,,Ctrl+Shift+R,`editor.action.refactor`,Show Refactor menu,VS Code,Edit
,,,,`editor.action.sourceAction`,Show Source Action menu,VS Code,Edit
rename,symbol,,F2,`editor.action.rename`,Rename Symbol,VS Code,Edit
,,,Ctrl+Shift+F2,`editor.action.linkedEditing`,Start Linked/Type Editing (rename tag pairs etc.),VS Code,Edit
go_to,bracket,,Ctrl+Shift+\,`editor.action.jumpToBracket`,Go to Bracket,VS Code,Edit
delete,bracket,,Ctrl+Alt+Backspace,`editor.action.removeBrackets`,Remove Brackets,VS Code,Edit
delete,whitespace,,Ctrl+K Ctrl+X,`editor.action.trimTrailingWhitespace`,Trim Trailing Whitespace,VS Code,Edit
,,,"Ctrl+Shift+,",`editor.action.inPlaceReplace.up`,Replace with Previous Value,VS Code,Edit
,,,Ctrl+Shift+.,`editor.action.inPlaceReplace.down`,Replace with Next Value,VS Code,Edit
,,,,`editor.action.transpose`,Transpose Letters around cursor,VS Code,Edit
,,,,`editor.action.joinLines`,Join current line with the next,VS Code,Edit
sort,,,,`editor.action.sortLinesAscending`,Sort Lines Ascending,VS Code,Edit
sort,,,,`editor.action.sortLinesDescending`,Sort Lines Descending,VS Code,Edit
duplicate,selection,,,`editor.action.duplicateSelection`,Duplicate Selection,VS Code,Edit
,,,,`editor.action.transformToUppercase`,Transform Selection to UPPERCASE,VS Code,Edit
,,,,`editor.action.transformToLowercase`,Transform Selection to lowercase,VS Code,Edit
,,,,`editor.action.transformToTitlecase`,Transform Selection to Title Case,VS Code,Edit
,,,,`editor.action.transformToSnakecase`,Transform Selection to snake_case,VS Code,Edit
,,,Tab,`editor.emmet.action.expandAbbreviation`,Emmet: Expand Abbreviation,VS Code,Edit
,,,Alt+Z,`editor.action.toggleWordWrap`,Toggle Word Wrap,VS Code,Edit
,,,Ctrl+M,`editor.action.toggleTabFocusMode`,Toggle whether Tab moves focus instead of indenting,VS Code,Edit
show,symbol,,Ctrl+K Ctrl+I,`editor.action.showHover`,Show Hover for symbol under cursor,VS Code,Edit
,,,Ctrl+K Ctrl+B,`editor.action.setSelectionAnchor`,Set Selection Anchor,VS Code,Edit
,,,Ctrl+K Ctrl+K,`editor.action.selectFromAnchorToCursor`,Select from Anchor to Cursor,VS Code,Edit
,,,,`editor.action.cancelSelectionAnchor`,Cancel Selection Anchor,VS Code,Edit
,,,Shift+F10,`editor.action.showContextMenu`,Show Editor Context Menu,VS Code,Edit
collapse,region,,Ctrl+Shift+[,`editor.fold`,Fold (collapse) region,VS Code,Code Folding
expand,region,,Ctrl+Shift+],`editor.unfold`,Unfold (uncollapse) region,VS Code,Code Folding
toggle,region,,Ctrl+K Ctrl+L,`editor.toggleFold`,Toggle Fold region,VS Code,Code Folding
collapse,region,,Ctrl+K Ctrl+[,`editor.foldRecursively`,Fold region and all subregions,VS Code,Code Folding
expand,region,,Ctrl+K Ctrl+],`editor.unfoldRecursively`,Unfold region and all subregions,VS Code,Code Folding
toggle,region,,Ctrl+K Ctrl+Shift+L,`editor.toggleFoldRecursively`,Toggle fold region and subregions,VS Code,Code Folding
collapse,region,,Ctrl+K Ctrl+0,`editor.foldAll`,Fold All regions,VS Code,Code Folding
expand,region,,Ctrl+K Ctrl+J,`editor.unfoldAll`,Unfold All regions,VS Code,Code Folding
collapse,comment,,Ctrl+K Ctrl+/,`editor.foldAllBlockComments`,Fold All Block Comments,VS Code,Code Folding
collapse,region,,Ctrl+K Ctrl+8,`editor.foldAllMarkerRegions`,Fold All Regions marked by `//region`,VS Code,Code Folding
expand,region,,Ctrl+K Ctrl+9,`editor.unfoldAllMarkerRegions`,Unfold All Marker Regions,VS Code,Code Folding
,,,Ctrl+K Ctrl+-,`editor.foldAllExcept`,Fold All Except Selected,VS Code,Code Folding
,,,Ctrl+K Ctrl+=,`editor.unfoldAllExcept`,Unfold All Except Selected,VS Code,Code Folding
,,,Ctrl+K Ctrl+1 … Ctrl+K Ctrl+7,`editor.foldLevel1` … `editor.foldLevel7`,Fold to nesting Level N,VS Code,Code Folding
new,region,,"Ctrl+K Ctrl+,",`editor.createFoldingRangeFromSelection`,Create Manual Folding Range from Selection,VS Code,Code Folding
delete,region,,Ctrl+K Ctrl+.,`editor.removeManualFoldingRanges`,Remove Manual Folding Ranges,VS Code,Code Folding
select,,,Ctrl+A,`editor.action.selectAll`,Select All,VS Code,Selection & Multi-cursor
select,line,,Ctrl+L,`expandLineSelection`,Select Current Line,VS Code,Selection & Multi-cursor
expand,selection,,Shift+Alt+Right,`editor.action.smartSelect.expand`,Expand Selection (AST-aware),VS Code,Selection & Multi-cursor
collapse,selection,,Shift+Alt+Left,`editor.action.smartSelect.shrink`,Shrink Selection,VS Code,Selection & Multi-cursor
,,,Ctrl+Alt+Up,`editor.action.insertCursorAbove`,Add Cursor Above,VS Code,Selection & Multi-cursor
,,,Ctrl+Alt+Down,`editor.action.insertCursorBelow`,Add Cursor Below,VS Code,Selection & Multi-cursor
,,,Shift+Alt+I,`editor.action.insertCursorAtEndOfEachLineSelected`,Add Cursors to Line Ends of selection,VS Code,Selection & Multi-cursor
select,match,,Ctrl+D,`editor.action.addSelectionToNextFindMatch`,Add Selection to Next Find Match,VS Code,Selection & Multi-cursor
select,match,,,`editor.action.addSelectionToPreviousFindMatch`,Add Selection to Previous Find Match,VS Code,Selection & Multi-cursor
move,selection,,Ctrl+K Ctrl+D,`editor.action.moveSelectionToNextFindMatch`,Move Last Selection to Next Find Match,VS Code,Selection & Multi-cursor
select,selection,,Ctrl+Shift+L,`editor.action.selectHighlights`,Select All Occurrences of Current Selection,VS Code,Selection & Multi-cursor
select,word,,Ctrl+F2,`editor.action.changeAll`,Change/select All Occurrences of Current Word,VS Code,Selection & Multi-cursor
select,match,,Alt+Enter,`editor.action.selectAllMatches`,Select All Occurrences of Find Match (from Find widget),VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+Up,`cursorColumnSelectUp`,Column (box) select up,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+Down,`cursorColumnSelectDown`,Column (box) select down,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+Left,`cursorColumnSelectLeft`,Column select left,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+Right,`cursorColumnSelectRight`,Column select right,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+PageUp,`cursorColumnSelectPageUp`,Column select page up,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+Alt+PageDown,`cursorColumnSelectPageDown`,Column select page down,VS Code,Selection & Multi-cursor
,,,Escape,`removeSecondaryCursors`,Collapse multi-cursor down to a single cursor,VS Code,Selection & Multi-cursor
,,,Escape,`cancelSelection`,Cancel current selection,VS Code,Selection & Multi-cursor
next,word,,F7,`editor.action.wordHighlight.next`,Go to Next symbol/word highlight,VS Code,Selection & Multi-cursor
previous,word,,Shift+F7,`editor.action.wordHighlight.prev`,Go to Previous symbol/word highlight,VS Code,Selection & Multi-cursor
,,,Ctrl+Shift+P / F1,`workbench.action.showCommands`,Show Command Palette,VS Code,View & Workbench Navigation
go_to,file,,Ctrl+P,`workbench.action.quickOpen`,Go to File... (Quick Open),VS Code,View & Workbench Navigation
,,,Ctrl+Q,`workbench.action.quickOpenView`,Quick Open a View,VS Code,View & Workbench Navigation
activate,sidebar,,Ctrl+Shift+E,`workbench.view.explorer`,Show Explorer / toggle focus,VS Code,View & Workbench Navigation
activate,search,,Ctrl+Shift+F,`workbench.view.search`,Show Search,VS Code,View & Workbench Navigation
,,,Ctrl+Shift+G,`workbench.view.scm`,Show Source Control,VS Code,View & Workbench Navigation
,,,Ctrl+Shift+D,`workbench.view.debug`,Show Run and Debug,VS Code,View & Workbench Navigation
activate,extension,,Ctrl+Shift+X,`workbench.view.extensions`,Show Extensions,VS Code,View & Workbench Navigation
activate,problem,,Ctrl+Shift+M,`workbench.actions.view.problems`,Show Problems Panel,VS Code,View & Workbench Navigation
toggle,output,,Ctrl+Shift+U,`workbench.action.output.toggleOutput`,Show Output Panel,VS Code,View & Workbench Navigation
,,,Ctrl+Shift+Y,`workbench.debug.action.toggleRepl`,Show Debug Console,VS Code,View & Workbench Navigation
toggle,terminal,,Ctrl+`,`workbench.action.terminal.toggleTerminal`,Show/hide Integrated Terminal,VS Code,View & Workbench Navigation
,,,Ctrl+Shift+I,`workbench.action.toggleDevTools`,Toggle Developer Tools,VS Code,View & Workbench Navigation
previous,editor,,Ctrl+Tab,`workbench.action.quickOpenPreviousRecentlyUsedEditorInGroup`,Show/cycle recently used editors in group,VS Code,View & Workbench Navigation
,,,Ctrl+Shift+Tab,`workbench.action.quickOpenLeastRecentlyUsedEditorInGroup`,Cycle recently used editors backward,VS Code,View & Workbench Navigation
,,,Ctrl+P (held),`workbench.action.quickOpenNavigateNextInFilePicker`,Navigate Next in Quick Open file picker,VS Code,View & Workbench Navigation
,,,Ctrl+R (held),`workbench.action.quickOpenNavigateNextInRecentFilesPicker`,Navigate in Open Recent picker,VS Code,View & Workbench Navigation
,,,Ctrl+Q (held),`workbench.action.quickOpenNavigateNextInViewPicker`,Navigate in Quick View picker,VS Code,View & Workbench Navigation
,,,Ctrl+Tab (held),`workbench.action.quickOpenNavigateNextInEditorPicker`,Navigate in editor-history picker,VS Code,View & Workbench Navigation
,,,Escape,`workbench.action.closeQuickOpen`,Close the Quick Open / Command Palette widget,VS Code,View & Workbench Navigation
previous,,,Alt+Left,`workbench.action.navigateBack`,Go Back,VS Code,View & Workbench Navigation
next,,,Alt+Right,`workbench.action.navigateForward`,Go Forward,VS Code,View & Workbench Navigation
,,,,`workbench.action.quickInputBack`,Go back one step in a multi-step Quick Input,VS Code,View & Workbench Navigation
go_to,definition,,F12,`editor.action.revealDefinition`,Go to Definition,VS Code,Go
go_to,definition,,Ctrl+K F12,`editor.action.revealDefinitionAside`,Open Definition to the Side,VS Code,Go
show,definition,,Alt+F12,`editor.action.peekDefinition`,Peek Definition inline,VS Code,Go
go_to,type_definition,,,`editor.action.goToTypeDefinition`,Go to Type Definition,VS Code,Go
go_to,implementation,,Ctrl+F12,`editor.action.goToImplementation`,Go to Implementation,VS Code,Go
show,implementation,,Ctrl+Shift+F12,`editor.action.peekImplementation`,Peek Implementation,VS Code,Go
go_to,reference,,Shift+F12,`editor.action.goToReferences`,Go to References,VS Code,Go
show,reference,,Shift+Alt+F12,`references-view.findReferences`,Find All References (References view),VS Code,Go
show,call_hierarchy,,Shift+Alt+H,`references-view.showCallHierarchy`,Show Call Hierarchy,VS Code,Go
next,reference,,F4,`references-view.next`,Go to Next Reference (References view),VS Code,Go
previous,reference,,Shift+F4,`references-view.prev`,Go to Previous Reference (References view),VS Code,Go
next,reference,,F4,`goToNextReference`,Go to Next Reference (Peek widget),VS Code,Go
previous,reference,,Shift+F4,`goToPreviousReference`,Go to Previous Reference (Peek widget),VS Code,Go
go_to,line,,Ctrl+G,`workbench.action.gotoLine`,Go to Line/Column...,VS Code,Go
go_to,symbol,,Ctrl+Shift+O,`workbench.action.gotoSymbol`,Go to Symbol in Editor...,VS Code,Go
go_to,symbol,,Ctrl+T,`workbench.action.showAllSymbols`,Go to Symbol in Workspace...,VS Code,Go
go_to,bracket,,Ctrl+Shift+\,`editor.action.jumpToBracket`,Go to Matching Bracket,VS Code,Go
go_to,last_edit_location,,Ctrl+K Ctrl+Q,`workbench.action.navigateToLastEditLocation`,Go to Last Edit Location,VS Code,Go
next,problem,,Alt+F8,`editor.action.marker.next`,Go to Next Problem in file,VS Code,Go
previous,problem,,Shift+Alt+F8,`editor.action.marker.prev`,Go to Previous Problem in file,VS Code,Go
next,problem,,F8,`editor.action.marker.nextInFiles`,Go to Next Problem (across files),VS Code,Go
previous,problem,,Shift+F8,`editor.action.marker.prevInFiles`,Go to Previous Problem (across files),VS Code,Go
next,change,,Alt+F3,`editor.action.dirtydiff.next`,Go to Next Change (uncommitted diff gutter),VS Code,Go
previous,change,,Shift+Alt+F3,`editor.action.dirtydiff.previous`,Go to Previous Change,VS Code,Go
next,change,,Alt+F5,`workbench.action.editor.nextChange`,Go to Next Change,VS Code,Go
previous,change,,Shift+Alt+F5,`workbench.action.editor.previousChange`,Go to Previous Change,VS Code,Go
next,change,,Alt+F5,`workbench.action.compareEditor.nextChange`,Next Change (diff editor),VS Code,Go
previous,change,,Shift+Alt+F5,`workbench.action.compareEditor.previousChange`,Previous Change (diff editor),VS Code,Go
open,change,,Ctrl+K Shift+O,`workbench.action.compareEditor.openSide`,Open Changes to the Side,VS Code,Go
Focus Breadcrumbs,,,Ctrl+Shift+,`breadcrumbs.focus`,,VS Code,Go
,,,Ctrl+Shift+.,`breadcrumbs.focusAndSelect`,Focus and Select Breadcrumbs,VS Code,Go
,,,Right / Left,`breadcrumbs.focusNext` / `breadcrumbs.focusPrevious`,Move focus along breadcrumb trail,VS Code,Go
,,,Enter,`breadcrumbs.revealFocused`,Reveal focused breadcrumb entry,VS Code,Go
run,,,F5,`workbench.action.debug.start`,Start Debugging,VS Code,Run & Debug
,,,Ctrl+F5,`workbench.action.debug.run`,Start Without Debugging,VS Code,Run & Debug
stop,,,Shift+F5,`workbench.action.debug.stop`,Stop debugging session,VS Code,Run & Debug
restart,,,Ctrl+Shift+F5,`workbench.action.debug.restart`,Restart debugging session,VS Code,Run & Debug
run,,,F5,`workbench.action.debug.continue`,Continue (while paused),VS Code,Run & Debug
pause,,,F6,`workbench.action.debug.pause`,Pause,VS Code,Run & Debug
,,,F10,`workbench.action.debug.stepOver`,Step Over,VS Code,Run & Debug
,,,F11,`workbench.action.debug.stepInto`,Step Into,VS Code,Run & Debug
,,,Shift+F11,`workbench.action.debug.stepOut`,Step Out,VS Code,Run & Debug
,,,Ctrl+F11,`workbench.action.debug.stepIntoTarget`,Step Into Target...,VS Code,Run & Debug
,,,Shift+F5,`workbench.action.debug.disconnect`,Disconnect from attached debuggee,VS Code,Run & Debug
,,,,`workbench.action.debug.selectandstart`,Select and Start Debugging (config picker),VS Code,Run & Debug
,,,,`debug.addConfiguration`,Add Configuration... to launch.json,VS Code,Run & Debug
toggle,breakpoint,,F9,`editor.debug.action.toggleBreakpoint`,Toggle Breakpoint,VS Code,Run & Debug
new,breakpoint,,,`editor.debug.action.conditionalBreakpoint`,Add Conditional Breakpoint...,VS Code,Run & Debug
new,breakpoint,,,`editor.debug.action.toggleInlineBreakpoint`,Add Inline Breakpoint,VS Code,Run & Debug
,,,Ctrl+K Ctrl+I,`editor.debug.action.showDebugHover`,Show hover for value while debugging,VS Code,Run & Debug
,,,Escape,`editor.debug.action.closeExceptionWidget`,Close inline exception widget,VS Code,Run & Debug
next,output,,Ctrl+PageDown,`workbench.action.debug.nextConsole`,Focus Next Debug Console,VS Code,Run & Debug
previous,output,,Ctrl+PageUp,`workbench.action.debug.prevConsole`,Focus Previous Debug Console,VS Code,Run & Debug
,,,Ctrl+Shift+Y,`workbench.debug.action.toggleRepl`,Toggle/show Debug Console,VS Code,Run & Debug
,,,Enter,`repl.action.acceptInput`,Execute typed expression in Debug Console,VS Code,Run & Debug
run,,,Ctrl+Enter / Enter,`repl.execute`,Execute cell in interactive Debug Console/REPL,VS Code,Run & Debug
open,search,,Ctrl+Alt+F,`repl.action.find`,Find in Debug Console,VS Code,Run & Debug
,,,Ctrl+Shift+D,`workbench.view.debug`,Show Run and Debug view,VS Code,Run & Debug
toggle,terminal,,Ctrl+`,`workbench.action.terminal.toggleTerminal`,Show/Hide the Integrated Terminal,VS Code,Terminal
new,terminal,,Ctrl+Shift+`,`workbench.action.terminal.new`,Create New Terminal,VS Code,Terminal
new,terminal,,Ctrl+Shift+Alt+`,`workbench.action.terminal.newInNewWindow`,Create New Terminal in a new window,VS Code,Terminal
new,split,,Ctrl+Shift+5,`workbench.action.terminal.split`,Split Terminal,VS Code,Terminal
new,split,,Ctrl+Shift+5,`workbench.action.terminal.splitActiveTab`,Split the active terminal tab,VS Code,Terminal
close,terminal,,Delete,`workbench.action.terminal.killActiveTab`,Kill the active terminal tab,VS Code,Terminal
close,terminal,,Ctrl+W / Ctrl+F4,`workbench.action.terminal.killEditor`,Kill terminal opened as an editor tab,VS Code,Terminal
activate,terminal,,Ctrl+Down (in editor at bottom),`workbench.action.terminal.focus`,Focus Terminal,VS Code,Terminal
next,terminal,,Ctrl+PageDown,`workbench.action.terminal.focusNext`,Focus Next Terminal,VS Code,Terminal
previous,terminal,,Ctrl+PageUp,`workbench.action.terminal.focusPrevious`,Focus Previous Terminal,VS Code,Terminal
activate,terminal,,Ctrl+Shift+\,`workbench.action.terminal.focusTabs`,Focus Terminal Tabs list,VS Code,Terminal
open,search,,Ctrl+F,`workbench.action.terminal.focusFind`,Focus Find in terminal,VS Code,Terminal
close,search,,Escape,`workbench.action.terminal.hideFind`,Hide terminal Find widget,VS Code,Terminal
,,,Escape,`workbench.action.terminal.clearSelection`,Clear terminal selection,VS Code,Terminal
copy,selection,,Ctrl+Shift+C,`workbench.action.terminal.copySelection`,Copy Selection,VS Code,Terminal
copy,selection,,Ctrl+C,`workbench.action.terminal.copyAndClearSelection`,Copy selection and clear it,VS Code,Terminal
paste,terminal,,Ctrl+V / Ctrl+Shift+V,`workbench.action.terminal.paste`,Paste into terminal,VS Code,Terminal
rename,terminal,,F2,`workbench.action.terminal.renameActiveTab`,Rename active terminal tab,VS Code,Terminal
run,recent,,Ctrl+Alt+R,`workbench.action.terminal.runRecentCommand`,Run Recent Command from shell history,VS Code,Terminal
go_to,recent,,Ctrl+G,`workbench.action.terminal.goToRecentDirectory`,Go to Recent Directory,VS Code,Terminal
,,,Ctrl+Alt+PageDown,`workbench.action.terminal.scrollDown`,Scroll Down (line),VS Code,Terminal
,,,Ctrl+Alt+PageUp,`workbench.action.terminal.scrollUp`,Scroll Up (line),VS Code,Terminal
,,,Shift+PageDown,`workbench.action.terminal.scrollDownPage`,Scroll Down (page),VS Code,Terminal
,,,Shift+PageUp,`workbench.action.terminal.scrollUpPage`,Scroll Up (page),VS Code,Terminal
,,,Ctrl+Home,`workbench.action.terminal.scrollToTop`,Scroll to Top,VS Code,Terminal
,,,Ctrl+End,`workbench.action.terminal.scrollToBottom`,Scroll to Bottom,VS Code,Terminal
,,,Ctrl+Down,`workbench.action.terminal.scrollToNextCommand`,Scroll to Next Shell-Integration Command,VS Code,Terminal
,,,Ctrl+Up,`workbench.action.terminal.scrollToPreviousCommand`,Scroll to Previous Shell-Integration Command,VS Code,Terminal
,,,Ctrl+Shift+Down,`workbench.action.terminal.selectToNextCommand`,Select to Next Command,VS Code,Terminal
,,,Ctrl+Shift+Up,`workbench.action.terminal.selectToPreviousCommand`,Select to Previous Command,VS Code,Terminal
next,match,,F3,`workbench.action.terminal.findNext`,Find Next in terminal,VS Code,Terminal
previous,match,,Shift+F3,`workbench.action.terminal.findPrevious`,Find Previous in terminal,VS Code,Terminal
,,,Alt+C,`workbench.action.terminal.toggleFindCaseSensitive`,Toggle Find Case Sensitive,VS Code,Terminal
,,,Alt+R,`workbench.action.terminal.toggleFindRegex`,Toggle Find Regex,VS Code,Terminal
,,,Alt+W,`workbench.action.terminal.toggleFindWholeWord`,Toggle Find Whole Word,VS Code,Terminal
,,,Alt+Z,`workbench.action.terminal.sizeToContentWidth`,Toggle terminal wrapping to content width,VS Code,Terminal
,,,Ctrl+.,`workbench.action.terminal.showQuickFixes`,Show terminal Quick Fixes,VS Code,Terminal
,,,Ctrl+Shift+G,`workbench.action.terminal.openDetectedLink`,Open Detected Link...,VS Code,Terminal
open,search,,Ctrl+Shift+F,`workbench.action.terminal.searchWorkspace`,Search selected text in Workspace from terminal,VS Code,Terminal
,,,Ctrl+Space,`workbench.action.terminal.triggerSuggest`,Trigger terminal shell-integration IntelliSense,VS Code,Terminal
,,,Ctrl+I,`workbench.action.terminal.chat.start`,Open Terminal Inline Chat,VS Code,Terminal
new,terminal,,,`workbench.action.createTerminalEditor`,Create New Terminal in Editor Area,VS Code,Terminal
,,,Ctrl+Shift+G,`workbench.view.scm`,Show Source Control view,VS Code,Git (built-in)
commit,,,Ctrl+Enter,`scm.acceptInput`,Commit staged changes (accept SCM input box),VS Code,Git (built-in)
commit,,,,`git.commit`,Commit,VS Code,Git (built-in)
commit,,,,`git.commitStaged`,Commit Staged,VS Code,Git (built-in)
commit,,,,`git.commitAll`,Commit All (stage everything and commit),VS Code,Git (built-in)
commit,,,,`git.commitAllSigned`,Commit All (Signed Off),VS Code,Git (built-in)
commit,,,,`git.commitStagedAmend`,Commit Staged (Amend),VS Code,Git (built-in)
stage,,,,`git.stage`,Stage Changes,VS Code,Git (built-in)
stage,,,,`git.stageAll`,Stage All Changes,VS Code,Git (built-in)
stage,selection,,Ctrl+K Ctrl+Alt+S,`git.stageSelectedRanges`,Stage Selected Ranges (in diff editor),VS Code,Git (built-in)
unstage,,,,`git.unstage`,Unstage Changes,VS Code,Git (built-in)
unstage,,,,`git.unstageAll`,Unstage All Changes,VS Code,Git (built-in)
unstage,selection,,Ctrl+K Ctrl+N,`git.unstageSelectedRanges`,Unstage Selected Ranges,VS Code,Git (built-in)
undo,selection,,Ctrl+K Ctrl+R,`git.revertSelectedRanges`,Revert Selected Ranges,VS Code,Git (built-in)
undo,change,,,`git.clean`,Discard Changes,VS Code,Git (built-in)
undo,change,,,`git.cleanAll`,Discard All Changes,VS Code,Git (built-in)
push,,,,`git.push`,Push,VS Code,Git (built-in)
push,remote,,,`git.pushTo`,Push to... (remote/branch picker),VS Code,Git (built-in)
push,,,,`git.pushForce`,Push (Force),VS Code,Git (built-in)
pull,,,,`git.pull`,Pull,VS Code,Git (built-in)
pull,remote,,,`git.pullFrom`,Pull from...,VS Code,Git (built-in)
pull,,,,`git.pullRebase`,Pull (Rebase),VS Code,Git (built-in)
,,,,`git.sync`,Sync (pull then push),VS Code,Git (built-in)
fetch,,,,`git.fetch`,Fetch,VS Code,Git (built-in)
fetch,remote,,,`git.fetchAll`,Fetch From All Remotes,VS Code,Git (built-in)
open,branch,,,`git.checkout`,Checkout to... branch/tag,VS Code,Git (built-in)
new,branch,,,`git.branch`,Create Branch...,VS Code,Git (built-in)
new,branch,,,`git.branchFrom`,Create Branch From...,VS Code,Git (built-in)
delete,branch,,,`git.deleteBranch`,Delete Branch...,VS Code,Git (built-in)
merge,branch,,,`git.merge`,Merge Branch...,VS Code,Git (built-in)
